,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
328,newcastle,92,ZA,1551058574,100,-27.76,29.92,58.81,2.93
329,viedma,0,AR,1551058864,51,-40.81,-62.99,54.22,19.37
330,huaral,0,PE,1551056400,78,-11.5,-77.21,75.2,10.29
331,pedernales,80,EC,1551058865,98,0.07,-80.05,72.09,2.93
332,cidreira,100,BR,1551058866,100,-30.17,-50.22,70.11,1.48
333,kovdor,24,RU,1551058866,86,67.56,30.47,23.8,4.72
334,carupano,68,VE,1551058867,90,10.67,-63.26,76.36,13.44
335,auki,0,NG,1551058867,42,12.18,6.51,63.13,6.4
336,oyama,75,JP,1551057480,58,36.31,139.8,53.6,5.82
337,gerash,0,IR,1551056400,76,27.67,54.14,48.2,5.39
338,pilot butte,20,CA,1551056400,68,50.48,-104.42,-14.81,8.05
339,berlevag,88,NO,1551058870,97,70.86,29.09,36.22,17.25
340,chingirlau,76,KZ,1551058871,73,51.09,54.08,10.35,3.15
341,pisco,90,PE,1551056400,78,-13.71,-76.2,75.2,4.7
342,camabatela,68,AO,1551058872,92,-8.19,15.37,61.51,2.71
343,vostok,68,RU,1551058873,63,46.45,135.83,20.7,5.17
344,khorol,48,UA,1551058873,86,49.78,33.27,20.43,10.65
345,yunyang,0,CN,1551058873,71,32.84,110.81,48.15,3.71
346,sao joao da barra,20,BR,1551058874,95,-21.64,-41.05,83.38,14.67
347,ola,56,RU,1551058875,100,59.58,151.3,3.78,6.62
348,xai-xai,92,MZ,1551058876,100,-25.04,33.64,77.17,4.5
349,east millcreek,1,US,1551057300,64,40.7,-111.81,44.6,13.87
350,northam,20,GB,1551055800,75,51.04,-4.21,41.0,8.05
351,seymchan,64,RU,1551058878,63,62.93,152.39,-9.1,11.54
352,mokhsogollokh,64,RU,1551058879,61,61.4,128.95,3.78,3.6
353,kamenka,80,RU,1551058879,89,53.19,44.05,19.03,10.65
354,puerto madryn,0,AR,1551058821,95,-42.77,-65.04,53.23,25.86
355,hurricane,1,US,1551056160,34,37.18,-113.29,48.2,2.93
356,statesboro,1,US,1551057300,33,32.45,-81.78,68.0,8.05
357,lorengau,36,PG,1551058881,95,-2.02,147.27,83.92,6.85
358,constitucion,40,MX,1551055380,5,23.99,-104.67,69.8,14.99
359,tilichiki,0,RU,1551058882,70,60.47,166.1,0.72,3.71
360,sorada,24,IN,1551058883,95,19.76,84.43,69.48,0.92
361,eureka,90,US,1551056100,87,40.8,-124.16,50.0,9.17
362,slavyanka,0,RU,1551058884,89,42.86,131.39,35.32,9.08
363,port-gentil,92,GA,1551058884,96,-0.72,8.78,81.67,5.84
364,skjervoy,88,NO,1551058885,99,70.03,20.97,38.61,21.27
365,abdanan,0,IR,1551058885,80,32.99,47.42,30.69,2.15
366,ancud,0,CL,1551056400,75,-41.87,-73.83,46.4,6.93
367,san antonio,0,CL,1551056400,82,-33.58,-71.61,57.2,6.93
368,beringovskiy,8,RU,1551058888,80,63.05,179.32,26.05,8.52
369,jalingo,80,NG,1551058889,75,10.3,10.93,74.83,10.09
370,saint-augustin,0,FR,1551056400,93,44.83,-0.61,42.8,2.24
371,poum,0,MK,1551058890,77,41.28,20.71,6.7,1.36
372,savannah bight,0,HN,1551058891,95,16.45,-85.85,80.1,22.28
373,franklin,40,US,1551057300,31,35.93,-86.87,46.4,4.7
374,bandar-e lengeh,0,IR,1551058893,98,26.56,54.88,70.83,12.77
375,muisne,92,EC,1551058894,94,0.61,-80.02,73.12,2.71
376,sitka,20,US,1551058894,67,37.17,-99.65,36.4,13.22
377,zorritos,75,PE,1551056400,33,-3.68,-80.68,89.6,3.36
378,rio grande,92,BR,1551058617,100,-32.03,-52.1,71.77,10.87
379,caibarien,20,CU,1551055800,78,22.52,-79.47,75.2,8.05
